a	indef art one
merchandise	n. goods bought and sold; goods for sale
merchant	wholesale trader, esp one who trades with foreign countries
merciful	 => mercy
merciless	adj. ~ showing no mercy; pitiless
mercurial	(of people or their moods, etc) often changing
mercury	n. the planet nearest to the sun
mercy	kindness, forgiveness, restraint, etc shown to sb one has the right or power to punish
mere	nothing more than; no better or more important than
merely	 adv. only; simply
meretricious	 adj. apparently attractive but in fact valueless
merge	~ ~ (together); ~ A with B/~ A and B (together) (esp commerce ) (cause two things to) come together and combine
merger	 n. joining together (esp two commercial companies)
meringue	 n. mixture of whites of egg and sugar baked until crisp and used as a covering over sweet pies, tarts, etc ,
merit	quality of deserving praise or reward; worth; excellence
merited	deserved, be worthy of or entitled or liable to
meritorious	adj. deserving praise or reward
mermaid	n. mythical creature having the body of a woman, but a fish's tail instead of legs
merry	(dated ) happy and cheerful; full of joy and gaiety
mesa	 n. flat-topped hill with steep sides, common in south-western USA
mesdames	 pl of madame
mesh	(piece of) material made of a network of wire, thread, etc
mesmeric	 adj. hypnotic
mesmerism	n. hypnotism
mesmerist	n. hypnotist
mesmerize	hypnotize
mesquite	 any small mimosaceous tree of the genus Prosopis, esp. the tropical American P. juliflora, whose sugary pods (mesquite beans) are used as animal fodder
mess	dirty or untidy state
message	information, news, request, etc sent to sb in writing, speech, by radio, etc
messenger	n. person carrying a message
messieurs	pl of Monsieur
messy	in a state of disorder; dirty
met	adj. meteorological
metabolic	adj. of metabolism
metabolism	 n. chemical process by which food is built up into living matter in an organism or by which living matter is broken down into simpler substances
metal	any of a class of mineral substances such as tin, iron, gold, copper, etc, which are usu opaque and good conductors of heat and electricity, or any alloy of these
metallic	 adj. of or like metal
metallurgical	[ metallurgy: ] the scientific study of the extraction, refining, alloying, and fabrication of metals and of their structure and properties
metallurgy	 The art or science of extracting a metal from ores, as by smelting.
metamorphose	 v. ~ (into sth) (fml ) (cause sb/sth to) change in form or nature
metamorphosis	n. (fml) change of form or nature, eg by natural growth or development
metaphor	 n. use of a word or phrase to indicate sth different from (though related in some way to) the literal meaning, as in `I'll make him eat his words' or `She has a heart of stone' I'll make him eat his wordsShe has a heart of stone
metaphorical	 adj. of or like a metaphor; containing metaphors
metaphysic	 the system of first principles and assumptions underlying an enquiry or philosophical theory
metaphysical	of metaphysics
metaphysician	One skilled in metaphysics.
metaphysics	branch of philosophy dealing with the nature of existence, truth and knowledge
metazoan	 any multicellular animal of the group Metazoa: includes all animals except sponges
mete	 v. mete sth out (to sb) (fml ) give or administer (punishment, rewards, etc)
metempsychosis	 Transition of the soul of a human being at death into another body, whether human or beast.
meteor	 n. small mass of matter that enters the earth's atmosphere from outer space, making a bright streak across the night sky as it is burnt up
meteoric	of meteors
meteorite	n. piece of rock or metal that has reached the earth's surface from outer space
meteorological	 adj. of meteorology
meteorologist	n. expert in meteorology
meteorology	n. scientific study of the earth's atmosphere and its changes, used esp for forecasting weather
meter	n. device that measures the volume of gas, water, etc passing through it, time passing, electrical current, distance, etc
methanol	 a colourless volatile poisonous liquid compound used as a solvent and fuel. Formula: CH3OH
method	way
methodical	 adj. done in an orderly, logical way
methodicalness	 [ methodical: ] less commonly methodic
methodism	n. Protestantreligious denomination that originated in the teachings of John Wesley , 1703-179 , 1703-1791
methodology	set of methods used
meticulous	 adj. ~ giving or showing great precision and care; very attentive to detail
meticulousness	 n.
metonymy	 A figure of speech that consists in the naming of a thing by one of its attributes.
metre	n. unit of length in the metric system, equal to 39.37 inches , 39.37.
metric	of or based on themetre1
metrical	 adj. of or composed in verse, not prose
metronome	n. device, usu with an inverted pendulum that can move back and forward at various speeds, which is used by a musician to mark time
metropolis	 n. chief city of a region or country; capital
metropolitan	 adj. of or in a large or capital city
mettle	quality of endurance or courage, esp in people or horses
mettlesome	 adj. (usu of horses, etc) high-spirited; courageous ,
mew	n. cry characteristic of a cat or a seabird
miasma	unhealthy or unpleasant mist, etc
mice	 pl of mouse
microbe	n. tiny organism that can only be seen under a microscope, esp one that causes disease or fermentation
microcomputer	n. small domestic or business computer in which the central processor is a microprocessor
microcosm	thing or being regarded as representing the universe, or mankind, on a small scale; miniature representation
micrometer	 n. device for measuring very small objects, angles or distances
micron	 n. one millionth of a metre; micrometre
microorganism	any organism, such as a bacterium, protozoan, or virus, of microscopic siz
microphone	 n. instrument that changes sound waves into electrical current
microprocessor	 n. central data processing unit of a computer, contained on one or more microchips
microscope	 n. instrumentwith lenses for making very small objects appear larger
microscopic	too small to be seen without the help of a microscope
microscopy	 The art of examing objects with the microscope.
microwave	very short electromagnetic wave used esp in radio and radar, and also in cooking
midday	 n. middle of the day; noon
middle	the middle point, position or part which is at an equal distance from two or more points, etc; point between the beginning and the end
midget	 n. extremely small person
midnight	1
midst	n. middle part
midsummer	the middle of summer, around
midwife	n. person, esp a woman, trained to assist women in childbirth
mien	 n. person's appearance or bearing, esp as an indication of mood, etc
miff	 a trivial quarrel
might	(indicating permission )
mighty	(esp fml ) powerful; strong
migrant	n, adj person or animal who migrates
migrate	move from one place to go to live or work in another
migration	n. (also transmigration) (action of) migrating
migratory	adj. having or of the habit of migrating
mild	(of a person or his manner) gentle; soft
mildew	 n. tiny fungus forming a coating on plants, leather, food, etc in warm and damp conditions
mildly	in a gentle manner
mildness	 n.
mile	unit of distance equal to 1.6 km 1.6
mileage	distance travelled, measured in miles
milestone	stone put at the side of a road showing distances in miles
milieu	 n. (usu sing ) social surroundings; environment
militant	 adj. using force or strong pressure, or supporting their use, to achieve one's aims
militarism	 n. believing in or depending on military strength and methods, esp as a government policy
militarist	 n. person who supports militarism
military	 adj. of or for soldiers or an army; of or for armed forces
militate	 v. ~ against sth (of evidence, facts, etc) have great force or influence to prevent sth
militia	n. force of civilians who are trained as soldiers and reinforce the regular army in the internal defence of the country in an emergency
